sporadicum,Denudata-Crustuliniformia,{Northern America: 100%; }
canariense,Naviculospora,{Africa: 100%; }
senatum,Naviculospora,{Northern America: 100%; }
robustum,Naviculospora,{Northern America: 100%; }
texanum,Naviculospora,{Northern America: 100%; }
levisporum,Naviculospora,{Northern America: 100%; }
laursenii,Naviculospora,{Northern America: 100%; }
radicans,Porphyrospora,{Asia-Tropical: 100%; }
lactariolens,Porphyrospora,{Asia-Tropical: 71.43%; Asia-Temperate: 28.57%; }
indicum,Porphyrospora,{Asia-Tropical: 100%; }
angustilamellatum,Porphyrospora,{Asia-Temperate: 57.14%; Asia-Tropical: 42.86%; }
luchuense,Scabrispora,{Asia-Temperate: 100%; }
radicosoides,Scabrispora,{Asia-Temperate: 100%; }
vinosophyllum,Porphyrospora,{Asia-Temperate: 100%; }
ifeleletorum,Porphyrospora,{Pacific: 100%; }
aminophilum,Porphyrospora,{Australasia: 100%; }
lacteocoffeatum,Mediorufus,{Australasia: 100%; }
mediorufum,Mediorufus,{Australasia: 100%; }
nothofagetorum,Mediorufus,{Australasia: 100%; }
victoriense,Porphyrospora,{Australasia: 95.45%; Pacific: 4.55%; }
youngii,Porphyrospora,{Australasia: 100%; }
palustre,Hebeloma-Amygdalina,{Northern America: 59.38%; Europe: 37.5%; Asia-Temperate: 2.34%; Southern America: 0.78%; }
velatum,Hebeloma-Hebeloma,{Europe: 59.3%; Northern America: 35.12%; Asia-Temperate: 5.58%; }
paludicola,Hebeloma-Amygdalina,{Northern America: 60.42%; Europe: 35.42%; Asia-Temperate: 4.17%; }
cohaerens,Theobromina,{Northern America: 100%; }
magnicystidiatum,Denudata-Crustuliniformia,{Northern America: 100%; }
viscidissimum,Scabrispora,{Northern America: 100%; }
