,SpecimenID,continent,SporeO1,SporeO2,SporeO3,SporeO4,SporeP0,SporeP1,SporeP2,SporeP3,SporeD0,SporeD1,SporeD2,SporeD3,SporeD4,SporeLength,SporeWidth,SporeQ,CheiloLength,CheiloWidth,CheiloQ_AM,CheiloQ_AB,CheiloQ_BM,BasidiaQ,NoOfCompleteLamellae,Latitude,Longitude,Altitude,CheiloCylindrical,CheiloVentiLagen,CheiloClavateGently,CheiloClavateStipitate,CheiloClavateVentricose,CheiloPyriBalloon,Pinaceae,Salicaceae,Fagaceae,Species,Section
32,33,Europe,0,0,1,0,1,1,0,0,1,0,0,0,0,0.143250689,0.251721763,0.130165289,0.756502073,0.915622697,0.862147753,0.936024372,0.047582794,0.08190091,0.17610935,0.568088033,0.504814305,0.420591268,0,0,0,1,0,0,0,0,0,helodes,Denudata-Crustuliniformia
33,34,Europe,0,0,1,0,0,0,0,1,0,0,0,0,1,0.806990358,0.698174931,0.736742424,0.998492273,0.45486367,0.409177456,0.730959634,0.07765512,,0.357567353,0.573074278,0.489511692,0.354417326,0,0,1,0,0,0,0,0,1,aestivale,Velutipes
34,35,Europe,0,0,1,0,0,1,1,0,0,0,0,1,0,0.143250689,0.052341598,0.828168044,0.632491519,0.336772292,0.564546839,0.503998477,0.484012181,,0.548534073,0.573074278,0.489511692,0.354417326,0,0,0,0,1,0,0,0,1,pseudofragilipes,Denudata-Clepsydroida
35,36,Europe,1,1,0,0,1,0,0,0,0,1,1,0,0,0.658402204,0.50327135,0.804407713,0.595175273,0.63614591,0.858720487,0.722581874,0.553863723,,0.548534073,0.581327373,0.481946355,0.322619457,0,0,0,1,1,0,0,0,0,hiemale,Denudata-Hiemalia
36,37,Europe,0,0,1,0,0,1,1,0,0,1,1,0,0,0.403581267,0.212465565,0.828168044,0.266302299,0.480840088,0.72810358,0.458492003,0.723639132,,0.643819334,0.581327373,0.481946355,0.322619457,0,0,0,1,1,0,0,0,1,pseudofragilipes,Denudata-Clepsydroida
37,38,Europe,0,1,1,0,0,1,0,0,1,1,0,0,0,0.329028926,0.355027548,0.549586777,0.834903882,0.866064849,0.753046458,0.919840061,0.028740008,,0.978209192,0.552097662,0.551066025,0.514609832,0,0,0,1,0,0,0,1,0,aanenii,Denudata-Crustuliniformia
38,39,Europe,0,0,1,1,0,0,1,1,0,0,0,1,0,0.904269972,0.872245179,0.686294766,0.632491519,0.508843036,0.601294745,0.32501904,0.792158356,0.979019211,0.150356577,0.556568088,0.557083906,0.732382262,0,0,0,0,1,0,0,1,0,rostratum,Denudata-Echinospora
39,40,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.266873278,0.300275482,0.412362259,0.381643423,0.45486367,0.230769231,0.277989337,0.513703845,,0.164223455,0.564305365,0.501375516,0.416981781,1,1,0,0,0,0,0,0,1,mesophaeum,Hebeloma-Hebeloma
40,41,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.090220386,0.142561983,0.197486226,0.302299284,0.242630803,0.081683168,0.210015232,0.578987438,,0.150356577,0.552097662,0.551066025,0.514609832,0,1,0,0,0,0,0,1,0,mesophaeum,Hebeloma-Hebeloma
41,42,Europe,0,0,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,0.552097662,0.551066025,0.514609832,,,,,,,0,0,1,sinapizans,Sinapizantia
42,43,Europe,1,1,0,0,1,1,0,0,0,1,1,0,0,0.763946281,0.604855372,0.804407713,0.834903882,0.480840088,0.766945925,0.560167555,0.63913209,,0.548534073,0.552097662,0.551066025,0.514609832,0,0,0,1,1,0,,,,hiemale,Denudata-Hiemalia
43,44,Europe,1,1,0,0,1,1,0,0,0,1,1,0,0,0.827134986,0.604855372,0.894628099,0.266302299,0.63614591,0.713823305,0.571210967,0.562809288,,0.810023772,0.552097662,0.551066025,0.514609832,0,0,0,0,1,0,,,,hiemale,Denudata-Hiemalia
44,45,Europe,0,0,0,1,0,0,0,1,0,0,0,0,1,0.709022039,0.814566116,0.321625344,0.068790049,0.696389094,0.424028941,0.708492003,0.201941378,,,0.507565337,0.33545392,0.413372293,1,0,0,0,0,0,,,,sacchariolens,Sacchariolentia
45,46,Europe,0,1,1,0,0,1,1,0,0,1,0,0,0,0.601239669,0.406163912,0.804407713,0.470599322,0.717759764,0.888233054,0.891469916,0.201941378,0.394843276,0.810023772,0.506361761,0.331155433,0.148504641,0,0,0,1,1,0,0,0,0,crustuliniforme,Denudata-Crustuliniformia
46,47,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.011363636,0.02703168,0.261363636,0.218243498,0.112380251,0.081683168,0.024942879,0.975827941,0.394843276,,0.506361761,0.331155433,0.148504641,0,1,0,0,0,0,,,,mesophaeum,Hebeloma-Hebeloma
47,48,Europe,0,0,1,1,0,0,0,1,0,0,0,1,1,0.891701102,0.652376033,0.922176309,0.989257444,0.43220339,0.482863671,0.697258187,0.26703464,,0.391442155,0.506361761,0.331155433,0.349432795,0,0,1,0,0,0,0,1,0,aestivale,Velutipes
48,49,Europe,0,0,1,0,0,1,0,0,0,0,1,1,0,0.917871901,0.846935262,0.736742424,0.93309461,0.866064849,0.834539223,0.818164509,0.363532547,0.757077856,0.150356577,0.158184319,0.281464924,0.782055689,0,0,0,1,1,0,0,1,0,salicicola,Denudata-Crustuliniformia
49,50,Europe,0,0,0,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,0.581327373,0.496045392,0.42591956,,,,,,,0,0,1,sacchariolens,Sacchariolentia
50,51,Europe,1,1,0,0,1,1,0,0,0,1,0,0,0,0.430096419,0.652376033,0.17165978,0.725593668,0.676308032,0.667364813,0.415651181,0.693376475,,0.391442155,0.559834938,0.5065337,0.433138536,0,0,0,0,1,0,1,0,0,hiemale,Denudata-Hiemalia
51,52,Europe,0,0,0,1,0,1,0,0,0,0,0,0,1,0.763946281,0.939393939,0.108815427,0.470599322,0.656963891,0.409177456,0.242003046,0.840883137,,0.927892235,0.556568088,0.504298487,0.483499484,0,1,0,0,0,0,0,0,1,sinapizans,Sinapizantia
52,53,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.128960055,0.142561983,0.321625344,0.160572936,0.13559322,0.299124143,0.167364813,0.852303007,,0.132725832,0.556568088,0.504298487,0.483499484,0,1,0,0,0,0,1,0,0,mesophaeum,Hebeloma-Hebeloma
53,54,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.128960055,0.300275482,0.066804408,0.340557859,0.305268976,0.230769231,0.202018279,0.762847354,,0.31358954,0.561554333,0.514099037,0.376074252,1,1,0,0,0,0,0,0,0,mesophaeum,Hebeloma-Hebeloma
54,55,Europe,0,0,1,1,0,0,1,0,0,0,0,0,1,0.959710744,0.814566116,0.930440771,0.340557859,0.676308032,0.530464585,0.753808073,0.29939094,,0.150356577,0.727819807,0.328232462,0.499312479,1,0,0,0,0,0,0,1,0,fusisporum,Sacchariolentia
55,56,Europe,1,1,0,0,1,0,0,0,1,1,0,0,0,0.763946281,0.846935262,0.355544077,0.470599322,0.45486367,0.355674029,0.099961919,0.960411115,,0.31358954,0.72369326,0.317228336,0.021313166,0,1,0,0,0,0,0,1,0,velatum,Hebeloma-Hebeloma
56,57,Europe,0,0,1,0,0,1,0,0,0,0,0,1,0,0.959710744,0.846935262,0.863980716,0.470599322,0.798268239,0.753046458,0.691355674,0.543585839,0.08190091,0.357567353,0.72369326,0.317228336,0.021313166,0,0,0,0,1,0,0,1,0,vaccinum,Denudata-Clepsydroida
57,58,Europe,0,0,1,0,1,0,0,0,1,0,0,0,0,0.403581267,0.142561983,0.944559229,0.875612514,0.955969049,0.903465347,0.912985529,0.186334222,,0.507329635,0.72369326,0.317228336,0.021313166,0,0,0,1,0,0,0,1,0,helodes,Denudata-Crustuliniformia
58,59,Europe,0,0,1,0,1,1,0,0,1,1,0,0,0,0.47899449,0.604855372,0.383608815,0.855258198,0.941046426,0.907654227,0.882330541,0.277883517,,0.781497623,0.72369326,0.317228336,0.021313166,0,0,0,1,0,0,,,,eburneum,Denudata-Crustuliniformia
59,60,Europe,1,1,0,0,1,0,0,0,0,0,1,1,0,0.512052342,0.738464187,0.228650138,0.632491519,0.696389094,0.583968012,0.582444783,0.438713361,,0.643819334,0.731774415,0.31911967,0.148504641,0,0,1,1,1,0,1,0,0,leucosarx,Velutipes
